"","Country.Name","Region","IncomeGroup","Year","GINI","percentage","school","government","voice","CPI"
"1","Afghanistan","South Asia","Low income","1998",NA,NA,NA,-2.135942221,-2.039301157,NA
"2","Angola","Sub-Saharan Africa","Lower middle income","1998",NA,129.8674995,12.0281200408936,-1.341783285,-1.411878705,NA
"3","Albania","Europe & Central Asia","Upper middle income","1998",NA,45.48134083,71.655158996582,-0.631392419,-0.387372851,NA
"4","United Arab Emirates","Middle East & North Africa","High income","1998",NA,NA,80.9587097167969,0.794107795,-0.519163191,NA
"5","Argentina","Latin America & Caribbean","Upper middle income","1998",50.7,23.34994435,81.4290771484375,0.37648508,0.308850229,30
"6","Armenia","Europe & Central Asia","Lower middle income","1998",NA,71.84245314,78.9229278564453,-0.475411892,-0.33551845,NA
"7","Australia","East Asia & Pacific","High income","1998",NA,39.92371826,155.082626342773,1.682468653,1.407491207,87
"8","Austria","Europe & Central Asia","High income","1998",NA,76.88426604,97.8917007446289,1.872740149,1.354778886,75
"9","Azerbaijan","Europe & Central Asia","Upper middle income","1998",NA,77.23357999,NA,-0.976521313,-1.022841215,NA
"10","Burundi","Sub-Saharan Africa","Low income","1998",42.3,27.44002999,NA,-1.581980586,-1.44287765,NA
"11","Belgium","Europe & Central Asia","High income","1998",NA,123.4844957,NA,1.838509798,1.342847466,54
"12","Benin","Sub-Saharan Africa","Low income","1998",NA,59.5936253,NA,-0.228182226,0.425980747,NA
"13","Burkina Faso","Sub-Saharan Africa","Low income","1998",49.9,40.93978358,NA,-0.706115127,-0.396195322,NA
"14","Bangladesh","South Asia","Lower middle income","1998",NA,27.8800634,43.6501693725586,-0.440470219,-0.085569881,NA
"15","Bulgaria","Europe & Central Asia","Upper middle income","1998",NA,79.15009601,91.8321533203125,-0.201888442,0.437017411,29
"16","Bahrain","Middle East & North Africa","High income","1998",NA,128.4891015,96.0243377685547,0.603047013,-1.065402746,NA
"17","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","1998",NA,125.6666091,NA,-1.075309277,-0.008210574,NA
"18","Belarus","Europe & Central Asia","Upper middle income","1998",32.3,122.9577514,85.9205093383789,-0.601107001,-0.772695839,39
"19","Belize","Latin America & Caribbean","Upper middle income","1998",54.9,109.5091681,NA,0.091324061,0.881688356,NA
"20","Bolivia","Latin America & Caribbean","Lower middle income","1998",NA,52.28116177,69.0608596801758,-0.069633596,0.353770107,28
"21","Brazil","Latin America & Caribbean","Upper middle income","1998",59.6,16.43865273,NA,-0.080491096,0.332852572,40
"22","Barbados","Latin America & Caribbean","High income","1998",NA,86.2870585,NA,1.462049723,1.274001479,NA
"23","Brunei Darussalam","East Asia & Pacific","High income","1998",NA,107.8761062,82.3803863525391,0.937815368,-0.723196626,NA
"24","Bhutan","South Asia","Lower middle income","1998",NA,82.51759968,24.1068706512451,0.607554317,-1.098304272,NA
"25","Botswana","Sub-Saharan Africa","Upper middle income","1998",NA,101.8410393,72.5607299804688,0.521572351,0.749341488,61
"26","Central African Republic","Sub-Saharan Africa","Low income","1998",NA,51.04953188,NA,-1.251532555,-0.681777358,NA
"27","Canada","North America","High income","1998",33.2,78.15885074,105.121612548828,1.948479533,1.55141294,92
"28","Switzerland","Europe & Central Asia","High income","1998",NA,88.86629251,95.6572265625,1.978873014,1.412886262,89
"29","Chile","Latin America & Caribbean","High income","1998",55.5,54.32116368,81.2021408081055,1.195395589,0.619043708,68
"30","China","East Asia & Pacific","Upper middle income","1998",NA,32.84431704,NA,-0.119982287,-1.437437773,35
"31","Cameroon","Sub-Saharan Africa","Lower middle income","1998",NA,45.01641779,24.5680408477783,-0.805020452,-1.063615322,14
"32","Congo, Dem. Rep.","Sub-Saharan Africa","Low income","1998",NA,62.67930673,NA,-1.878146648,-1.728646636,NA
"33","Congo, Rep.","Sub-Saharan Africa","Lower middle income","1998",NA,148.9016625,NA,-1.129876494,-1.465101957,NA
"34","Colombia","Latin America & Caribbean","Upper middle income","1998",NA,35.90892305,70.0101699829102,-0.234477714,-0.344189405,22
"35","Comoros","Sub-Saharan Africa","Low income","1998",NA,48.61127142,NA,-1.581980586,-0.37515673,NA
"36","Cabo Verde","Sub-Saharan Africa","Lower middle income","1998",NA,81.88141375,NA,0.366040468,0.934504032,NA
"37","Costa Rica","Latin America & Caribbean","Upper middle income","1998",45.7,92.48985619,58.9231796264648,0.337790191,1.142669201,56
"38","Cuba","Latin America & Caribbean","Upper middle income","1998",NA,32.50463292,NA,-0.496011853,-1.584772944,NA
"39","Cyprus","Europe & Central Asia","High income","1998",NA,134.9106801,NA,1.249062777,0.983076632,NA
"40","Czech Republic","Europe & Central Asia","High income","1998",NA,84.68860957,82.3265914916992,0.628997087,0.967962325,48
"41","Germany","Europe & Central Asia","High income","1998",NA,51.58287212,98.9832763671875,1.881972551,1.291888475,79
"42","Djibouti","Middle East & North Africa","Lower middle income","1998",NA,93.89887107,NA,-1.028415918,-0.994008064,NA
"43","Dominica","Latin America & Caribbean","Upper middle income","1998",NA,125.2855444,NA,0.249165535,1.094591856,NA
"44","Denmark","Europe & Central Asia","High income","1998",NA,71.29911938,123.529327392578,1.982807875,1.467340946,100
"45","Dominican Republic","Latin America & Caribbean","Upper middle income","1998",NA,79.37904054,54.1726112365723,-0.520856977,0.093083277,NA
"46","Algeria","Middle East & North Africa","Upper middle income","1998",NA,45.09445056,NA,-0.829001725,-1.244342446,NA
"47","Ecuador","Latin America & Caribbean","Upper middle income","1998",49.7,43.39510795,56.5203399658203,-0.513704836,0.114651591,23
"48","Eritrea","Sub-Saharan Africa","Low income","1998",NA,94.92756567,NA,-0.869616151,-1.231638193,NA
"49","Spain","Europe & Central Asia","High income","1998",NA,52.86422329,106.092308044434,1.661104918,1.299594522,61
"50","Estonia","Europe & Central Asia","High income","1998",NA,158.4289651,94.3746490478516,0.574491799,1.03417027,57
"51","Ethiopia","Sub-Saharan Africa","Low income","1998",NA,NA,NA,-0.92356199,-0.989250898,NA
"52","Finland","Europe & Central Asia","High income","1998",NA,67.018325,117.647277832031,2.022946119,1.467298269,96
"53","Fiji","East Asia & Pacific","Upper middle income","1998",NA,119.1086673,78.7678070068359,-0.264179856,0.226074696,NA
"54","France","Europe & Central Asia","High income","1998",NA,49.0057228,110.523750305176,1.513517737,1.171781659,67
"55","Gabon","Sub-Saharan Africa","Upper middle income","1998",NA,95.97478261,NA,-0.520798564,-0.391127527,NA
"56","United Kingdom","Europe & Central Asia","High income","1998",NA,48.26150548,98.9675827026367,1.932943702,1.195276618,87
"57","Georgia","Europe & Central Asia","Lower middle income","1998",41.3,53.56664052,NA,-0.579862773,-0.385090172,NA
"58","Ghana","Sub-Saharan Africa","Lower middle income","1998",40.1,80.59954325,NA,-0.117334723,-0.187200338,33
"59","Guinea","Sub-Saharan Africa","Low income","1998",NA,48.21067586,NA,-0.781581998,-1.110450149,NA
"60","Guinea-Bissau","Sub-Saharan Africa","Low income","1998",NA,50.28654212,NA,-1.263283968,-0.943927407,NA
"61","Equatorial Guinea","Sub-Saharan Africa","Upper middle income","1998",NA,531.7374352,NA,-1.432364464,-1.561029911,NA
"62","Greece","Europe & Central Asia","High income","1998",NA,42.26828025,91.9817123413086,0.778046727,1.103217363,49
"63","Grenada","Latin America & Caribbean","Upper middle income","1998",NA,93.94490438,NA,0.408449471,0.724685133,NA
"64","Guatemala","Latin America & Caribbean","Lower middle income","1998",NA,44.42373996,29.5951900482178,-0.417223603,-0.195095882,31
"65","Guyana","Latin America & Caribbean","Upper middle income","1998",44.5,203.8431752,NA,-0.047207683,0.390771747,NA
"66","Honduras","Latin America & Caribbean","Lower middle income","1998",57.4,100.5011499,NA,-0.547731102,-0.02243376,17
"67","Croatia","Europe & Central Asia","Upper middle income","1998",NA,65.76340439,84.0380706787109,0.074214436,-0.292461693,NA
"68","Haiti","Latin America & Caribbean","Low income","1998",NA,36.5207867,NA,-1.221441388,-0.614243031,NA
"69","Hungary","Europe & Central Asia","High income","1998",NA,107.2099851,91.3595962524414,0.987042665,1.070460796,50
"70","Indonesia","East Asia & Pacific","Lower middle income","1998",NA,90.33888591,54.3460884094238,-0.608823001,-1.024469733,20
"71","India","South Asia","Lower middle income","1998",NA,23.9564845,NA,-0.064976007,0.391242564,29
"72","Ireland","Europe & Central Asia","High income","1998",NA,157.9779498,100.653213500977,1.80432117,1.355704904,82
"73","Iraq","Middle East & North Africa","Upper middle income","1998",NA,132.2431605,NA,-1.948204398,-1.94254303,NA
