"","Country.Name","Country.Code","Series.Name","Series.Code","X1968..YR1968.","X1969..YR1969.","X1970..YR1970.","X1971..YR1971.","X1972..YR1972.","X1973..YR1973.","X1974..YR1974.","X1975..YR1975.","X1976..YR1976.","X1977..YR1977.","X1978..YR1978.","X1979..YR1979.","X1980..YR1980.","X1981..YR1981.","X1982..YR1982.","X1983..YR1983.","X1984..YR1984.","X1985..YR1985.","X1986..YR1986.","X1987..YR1987.","X1988..YR1988.","X1989..YR1989.","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","X2017..YR2017."
"7","Austria","AUT","Adjusted net enrollment rate, primary (% of primary school age children)","SE.PRM.TENR","..","..","..","90.95584106","90.16531372","88.81080627","87.91741943","87.62542725","87.04473877","..","..","..","..","..","..","..","..","..","..","..","..","94.28749847","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"8","Austria","AUT","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","94.73197937","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"9","Austria","AUT","Adjusted net enrollment rate, primary, male (% of primary school age children)","SE.PRM.TENR.MA","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","93.86396027","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"10","Austria","AUT","Adjusted net national income (annual % growth)","NY.ADJ.NNTY.KD.ZG","..","..","..","4.760708799","6.563816567","5.848667435","2.481804718","-0.437862904","4.511839254","3.936685389","0.308867502","5.331175162","-0.137970994","-1.090846256","2.872008908","3.175159971","0.183220869","2.799320566","2.345940451","1.373730229","3.96259807","3.896501694","4.930427294","2.666245326","1.898462241","0.058454066","2.421798213","2.522770713","2.217366888","1.362525775","3.307721137","2.156990186","3.820524285","0.518709955","2.810383897","1.154792581","2.852035556","1.729930521","3.695376352","3.295580269","1.615056713","-5.003887866","2.254874225","1.432620133","-0.247922367","-0.06921393","0.490881034","0.572826973","2.527839332",".."
"11","Austria","AUT","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","..","..","13162975510","15273473358","18864540569","25308164463","30120797382","34144790143","36780359853","43937103935","52652535487","62819347826","69306842546","59561930957","59820372817","60810276281","57267202865","58576274981","83429892345","1.04496E+11","1.12912E+11","1.12778E+11","1.4136E+11","1.46657E+11","1.64668E+11","1.6012E+11","1.71043E+11","2.01832E+11","1.99246E+11","1.77606E+11","1.81822E+11","1.78642E+11","1.62985E+11","1.61889E+11","1.7638E+11","2.16606E+11","2.49785E+11","2.62084E+11","2.80903E+11","3.24524E+11","3.61829E+11","3.29677E+11","3.26241E+11","3.5739E+11","3.37174E+11","3.53589E+11","3.62347E+11","3.10506E+11","3.20076E+11",".."
"12","Austria","AUT","Adjusted net national income per capita (annual % growth)","NY.ADJ.NNTY.PC.KD.ZG","..","..","..","4.294260292","5.946274233","5.263843576","2.307523136","-0.173354488","4.696645911","3.896791241","0.39011149","5.510879647","-0.138076816","-1.34276128","2.798258619","3.342026834","0.189527505","2.751066619","2.280921294","1.297316453","4.145972256","3.488216368","3.648170106","1.964168948","0.850276088","-0.939136492","1.974946488","2.267722871","2.093082616","1.378315618","3.163052668","2.060025996","3.331012895","0.465545057","1.99915925","0.664973916","2.050928744","1.124869175","3.38524466","2.770807141","1.453413956","-5.286882461","1.940414175","1.276561462","-0.756307947","-0.78147579","-0.314380043","-0.442652129","1.572965176",".."
"13","Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","..","..","1762.799506","2036.332246","2500.535255","3336.116637","3963.764543","4505.241741","4861.574029","5805.31285","6962.498271","8321.077145","9180.403687","7869.495721","7897.975588","8041.655651","7573.590256","7743.078801","11021.42176","13793.93559","14931.20004","14854.8905","18392.02105","18950.71333","21059.23877","20273.45554","21561.95273","25379.98346","25024.29178","22309.93039","22807.51019","22387.36137","20328.91945","20181.51532","21814.53075","26659.97834","30504.20907","31815.8053","33998.25172","39078.26102","43501.15421","39517.62746","38985.49437","42642.09274","40024.97577","41674.33159","42364.30921","35936.70099","36699.28249",".."
"14","Austria","AUT","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","..","..","3.2","3.4","3.5","3.5","3.6","4","4.2","4.1","4.3","4.3","4.3","4.8","4.9","4.8","4.8","4.9","5.1","5","4.8","4.7","4.6","4.8","4.7","4.7","4.9933609","5.1","4.9","5.2922698","5.688397531","5.82","5.377116632","5.47","5.35","5.27","5.14","5.09","5.07","5.01","5.07","5.55","5.4","5.4","5.21","5.295400001","5.218720496","5.218720496","5.218720496",".."
"15","Austria","AUT","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","..","..","494196287.3","610415412.4","775330038.1","1036766788","1273197276","1609307533","1809479431","2117673547","2672097068","3185085599","3532329694","3405770567","3493625842","3470486973","3268307380","3405964418","5044715991","6201950000","6417936000","6279529000","7692120000","8335872000","9191367000","8972629000","10178966195","12245661000","11618733000","11209344973","12340011416","12439959000","10490001752","10646753300","11349436500","13756702600","15445186000","16049024500","17074898100","19453830000","21997868100","22199944500","21339234000","23358996000","21352611900","22835300468","23091168206","19793041227","20384374446",".."
"16","Austria","AUT","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","..","..","..","4.619209766","4.772049904","..","4.221439838","2.167789936","2.621530056","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
